function,encoding,crossover,run,fitness
schaffer,binary,2point,7,0.0229427852985441
schaffer,binary,2point,8,0.002203350408314708
schaffer,binary,2point,9,0.024403860018647028
schaffer,binary,2point,10,0.05162693894790937
schaffer,binary,2point,11,0.00023793042383662977
schaffer,binary,2point,12,0.0003107313069457551
schaffer,binary,2point,13,0.008579273984717306
schaffer,binary,2point,14,0.01380058768369219
schaffer,binary,2point,15,0.0019556741009010836
schaffer,binary,2point,16,0.14084517953843884
schaffer,binary,2point,17,0.0007039206914918883
schaffer,binary,2point,18,0.0002033496668347179
schaffer,binary,2point,19,0.009385896219998247
schaffer,binary,2point,20,0.04361733982756266
schaffer,binary,2point,21,0.02208810583063414
schaffer,binary,2point,22,0.0021353121579779644
schaffer,binary,2point,23,0.09683791544300535
schaffer,binary,2point,24,0.011701695167773307
schaffer,binary,2point,25,0.04674006389897278
schaffer,binary,2point,26,0.039518806041543175
schaffer,binary,2point,27,0.047261609075318345
schaffer,binary,2point,28,0.00012141631907391925
schaffer,binary,2point,29,0.0030338808243990933
